ID,Name,Rank,State,State_code,County,County_code
1,Great Smoky Mountains National Park,1,North Carolina,37,Swain county,173
2,Great Smoky Mountains National Park,1,North Carolina,37,Haywood county,087
3,Great Smoky Mountains National Park,1,Tennessee,47,Sevier county,155
4,Great Smoky Mountains National Park,1,Tennessee,47,Blount county,009
5,Great Smoky Mountains National Park,1,Tennessee,47,Cocke county,029
6,Saguaro National Park,2,Arizona,04,Pima county,019
7,Petrified Forest National Park,3,Arizona,04,Navajo county,017
8,Petrified Forest National Park,3,Arizona,04,Apache county,001
9,Crater Lake National Park,4,Oregon,41,Klamath county,035
10,Redwood National Park,5,California,06,Humboldt county,023
11,Katmai National Park,6,Alaska,02,Lake and Peninsula,164
12,Katmai National Park,6,Alaska,02,Kodiak Island,150
13,Katmai National Park,6,Alaska,02,Kenai Peninsula,122
14,Katmai National Park,6,Alaska,02,Bristol Bay,060
15,Mesa Verde National Park,7,Colorado,08,Montezuma county,083
16,Everglades National Park,8,Florida,12,Miami Dade county,086
17,Everglades National Park,8,Florida,12,Monroe county,087
18,Everglades National Park,8,Florida,12,Collier county,021
19,Grand Canyon National Park,9,Arizona,04,Coconino county,005
20,Grand Canyon National Park,9,Arizona,04,Mohave county,015
21,Channel Islands National Park,10,California,06,Santa Barbara county,083
22,Channel Islands National Park,10,California,06,Ventura county,111
