Name,Rank,State,Airport,Airport Code
Great Smoky Mountains National Park,1,"North Carolina, Tennessee",Nashville International Airport,BNA
Saguaro National Park,2,Arizona,Tucson International Airport,TUS
Petrified Forest National Park,3,Arizona,Phoenix Sky Harbor International Airport,PHX
Crater Lake National Park,4,Oregon,Portland International Airport,PDX
Redwood National Park,5,California,San Francisco International Airport,SFO
Katmai National Park,6,Alaska,Ted Stevens Anchorage International Airport,ANC
Mesa Verde National Park,7,Corolado,Montrose Regional Airport,MTJ
Everglades National Park,8,Florida,Miami International Airport,MIA
Grand Canyon National Park,9,Arizona,Phoenix Sky Harbor International Airport,PHX
Channel Islands National Park,10,California,Los Angeles International Airport,LAX
