Airport_code,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25
BNA,96 ,78 ,73 ,78 ,73 ,177 ,177 ,156 ,156 ,220 ,359 ,269 ,269 ,269 
TUS,275 ,275 ,275 ,265 ,265 ,366 ,509 ,509 ,486 ,554 ,662 ,649 ,629 ,551 
PHX,317 ,317 ,317 ,285 ,285 ,366 ,366 ,493 ,366 ,499 ,572 ,564 ,564 ,630 
PDX,275 ,275 ,275 ,265 ,275 ,409 ,409 ,469 ,570 ,611 ,752 ,582 ,750 ,671 
SFO,275 ,275 ,275 ,265 ,339 ,339 ,449 ,449 ,499 ,508 ,630 ,680 ,591 ,591 
ANC,435 ,212 ,212 ,325 ,325 ,514 ,700 ,700 ,807 ,807 ,916 ,1055 ,827 ,942 
MTJ,329 ,483 ,207 ,268 ,238 ,238 ,238 ,218 ,268 ,218 ,329 ,329 ,365 ,329 
MIA,116 ,82 ,82 ,82 ,116 ,289 ,379 ,289 ,249 ,249 ,379 ,464 ,454 ,492 
PHX,317 ,317 ,317 ,285 ,285 ,366 ,366 ,493 ,366 ,499 ,572 ,564 ,564 ,630 
LAX,170 ,108 ,108 ,171 ,264 ,347 ,347 ,390 ,443 ,428 ,527 ,591 ,506 ,567 
