"","station","interval60","Temperature","Precipitation","Wind_Speed","Year"
"1","BNA",2020-12-12 00:00:00,57.9,0,10,"2020"
"2","BNA",2020-12-12 01:00:00,59,0,10,"2020"
"3","BNA",2020-12-12 02:00:00,59,0,11,"2020"
"4","BNA",2020-12-12 03:00:00,59,0,10,"2020"
"5","BNA",2020-12-12 04:00:00,59,0,13,"2020"
"6","BNA",2020-12-12 05:00:00,55.9,0.02,11,"2020"
"7","BNA",2020-12-12 06:00:00,55.9,1e-04,8,"2020"
"8","BNA",2020-12-12 07:00:00,57,0.13,14,"2020"
"9","BNA",2020-12-12 08:00:00,57.9,1e-04,17,"2020"
"10","BNA",2020-12-12 09:00:00,57.9,0,17,"2020"
"11","BNA",2020-12-12 10:00:00,59,0,17,"2020"
"12","BNA",2020-12-12 11:00:00,57.9,0.16,14,"2020"
"13","BNA",2020-12-12 12:00:00,57,0.23,11,"2020"
"14","BNA",2020-12-12 13:00:00,57.9,0.09,10,"2020"
"15","BNA",2020-12-12 14:00:00,59,0.03,9,"2020"
"16","BNA",2020-12-12 15:00:00,60.1,1e-04,10,"2020"
"17","BNA",2020-12-12 16:00:00,61,0,8,"2020"
"18","BNA",2020-12-12 17:00:00,63,0,8,"2020"
"19","BNA",2020-12-12 18:00:00,66,0,10,"2020"
"20","BNA",2020-12-12 19:00:00,66,0,6,"2020"
"21","BNA",2020-12-12 20:00:00,68,0,7,"2020"
"22","BNA",2020-12-12 21:00:00,66,0,5,"2020"
"23","BNA",2020-12-12 22:00:00,64,0,4,"2020"
"24","BNA",2020-12-12 23:00:00,60.1,0,7,"2020"
"25","BNA",2020-12-13 00:00:00,57,0,4,"2020"
"26","BNA",2020-12-13 01:00:00,53.1,0,8,"2020"
"27","BNA",2020-12-13 02:00:00,50,0,6,"2020"
"28","BNA",2020-12-13 03:00:00,46.9,0,6,"2020"
"29","BNA",2020-12-13 04:00:00,46,0,5,"2020"
"30","BNA",2020-12-13 05:00:00,44.1,0,3,"2020"
"31","BNA",2020-12-13 06:00:00,43,0,0,"2020"
"32","BNA",2020-12-13 07:00:00,39.9,0,0,"2020"
"33","BNA",2020-12-13 08:00:00,37.9,0,0,"2020"
"34","BNA",2020-12-13 09:00:00,37,0,3,"2020"
"35","BNA",2020-12-13 10:00:00,36,0,0,"2020"
"36","BNA",2020-12-13 11:00:00,35.1,0,3,"2020"
"37","BNA",2020-12-13 12:00:00,35.1,0,4,"2020"
"38","BNA",2020-12-13 13:00:00,35.1,0,3,"2020"
"39","BNA",2020-12-13 14:00:00,43,0,0,"2020"
"40","BNA",2020-12-13 15:00:00,46.9,0,4,"2020"
"41","BNA",2020-12-13 16:00:00,48.9,0,0,"2020"
"42","BNA",2020-12-13 17:00:00,52,0,3,"2020"
"43","BNA",2020-12-13 18:00:00,52,0,0,"2020"
"44","BNA",2020-12-13 19:00:00,51.1,0,3,"2020"
"45","BNA",2020-12-13 20:00:00,51.1,0,7,"2020"
